Reference,Colour_Description,Breed_Description,Animal_Name,Gender,Suburb,Age
156564,Apricot,Pomeranian X,DUTCHESS,Female,ELIZABETH DOWNS,3
156565,Gold,Labrador Retriever X,BENJI,Desexed Male,BLAKEVIEW,13
156566,Brown,Labrador Retriever,BUDDY,Desexed Male,ELIZABETH PARK,13
156567,Sable,German Shepherd Dog,GRACIE,Female,ELIZABETH GROVE,8
156568,Black /Tan,German Shepherd Dog,FFLOYD,Desexed Male,ELIZABETH GROVE,14
156569,Black/White,American Staffordshire Terrier Cross,PETE,Desexed Male,ANDREWS FARM,13
156570,White,Australian Terrier X,TOBY,Desexed Male,ANDREWS FARM,6
156571,Black/White,Maltese X,BENTLEY,Desexed Male,ANDREWS FARM,12
156572,Grey,Schnauzer (Miniature),SEAMUS,Male,CRAIGMORE,5
156573,Black,Labrador Retriever,MARLEY,Female,ANDREWS FARM,9
156574,Black/Brindle,Staffordshire Bull Terrier X,MAX,Male,BLAKEVIEW,11
156575,Black /Tan,Rottweiler,JAX,Male,SMITHFIELD PLAINS,8
156576,Black,Australian Kelpie,CHARLIE,Desexed Female,BLAKEVIEW,8
156577,Tan/White,Jack Russell Terrier X,,Desexed Male,CRAIGMORE,8
156578,White/Red,Boxer,JEDDA,Desexed Female,DAVOREN PARK,4
156579,Gold,Labrador Retriever,CHLOE,Desexed Female,ANDREWS FARM,8
156580,Gold,Labrador Retriever,TYSON,Male,ANDREWS FARM,10
156581,Tan,Australian Kelpie,SMOKE,Male,MACDONALD PARK,1
156582,Black,Australian Kelpie X,LOLA,Female,ANDREWS FARM,4
156583,Black,Australian Kelpie,COAL,Male,MACDONALD PARK,8
156584,Tan,Staffordshire Bull Terrier,JJ,Desexed Male,DAVOREN PARK,4
156585,Tri-Colored,Akita,KOUGA (KO-GA),Desexed Male,ANDREWS FARM,7
156586,White,Maltese,BILLY,Male,BLAKEVIEW,1
156587,Tan/White,Staffordshire Bull Terrier X,HOLLY,Female,ANDREWS FARM,5
156588,Tan/White,Poodle (Toy) X,MILLY,Female,ANDREWS FARM,4
156589,White,Lhasa Apso X,ODIE,Desexed Male,CRAIGMORE,2
156590,Black/White,American Staffordshire Terrier,ROSIE,Female,CRAIGMORE,1
156591,Tan/White,Jack Russell Terrier X,EDDIE,Desexed Male,DAVOREN PARK,2
156592,Tri-Colored,Jack Russell Terrier X,ANGEL,Desexed Female,DAVOREN PARK,10
156593,White,Maltese,NUGGET,Male,DAVOREN PARK,3
156594,Brown,Staffordshire Bull Terrier X,JACK,Male,ANDREWS FARM,13
156595,White,Shih Tzu X,JASPER,Male,CRAIGMORE,13
156596,Black/Gold,German Shepherd Dog X,DODGE,Male,VIRGINIA,2
156597,Tri-Colored,Beagle,COOPER,Desexed Male,DAVOREN PARK,11
156598,Tri-Colored,Beagle,BOO BOO,Desexed Female,DAVOREN PARK,7
156599,Black /Tan,Rottweiler,LISA,Desexed Female,ANDREWS FARM,2
156600,Sandy,Pomeranian,TINY,Male,DAVOREN PARK,10
156601,Black/White,Shih Tzu X,CHLOE,Desexed Female,ANDREWS FARM,12
156602,Black /Tan,German Shepherd Dog,INOIE,Desexed Female,CRAIGMORE,13
156603,Blue,Staffordshire Bull Terrier,BOO,Desexed Female,ANDREWS FARM,1
156604,White,Staffordshire Bull Terrier,BAMBAM,Male,ANDREWS FARM,6
156605,Tan,German Shepherd Dog X,CHEVY,Male,ANDREWS FARM,9
156606,Tri-Colored,Chihuahua,MANGO,Female,DAVOREN PARK,8
156607,Apricot,Pomeranian,SARAH,Female,ANDREWS FARM,13
156608,Apricot,Pomeranian,HARLEY,Male,ANDREWS FARM,3
156609,White,Maltese X,BUDDY,Desexed Male,ANDREWS FARM,12
156610,Black/White,Maltese X,BUDDY,Male,ANDREWS FARM,7
156611,Sandy,Cairn Terrier,SANDY,Female,SMITHFIELD PLAINS,12
156612,Cream,Labrador Retriever,CHARLIE,Male,DAVOREN PARK,13
156613,Black /Tan,Rottweiler,DUKE,Desexed Male,CRAIGMORE,11
156614,Black /Tan,Chihuahua X,Benjamin,Male,CRAIGMORE,6
156615,Gold,Labrador Retriever,LUCY,Female,CRAIGMORE,2
156616,Black,Labrador Retriever X,GEMMA,Desexed Female,ANDREWS FARM,3
156617,Tan/White,Jack Russell Terrier X,SCRUFFY,Male,ELIZABETH PARK,7
156618,White,Maltese X,RALPH,Desexed Male,WATERLOO CORNER,7
156619,Gold,Mastiff,COUGAR,Desexed Male,DAVOREN PARK,6
156620,Grey/White,Siberian Husky,SNOW,Male,ANDREWS FARM,8
156621,Brown,Mastiff X,BULLET,Male,DAVOREN PARK,8
156622,Black/White,Fox Terrier (Smooth),MILLY,Female,CRAIGMORE,7
156623,Black/White,Fox Terrier (Smooth),ARNOLD,Male,CRAIGMORE,4
156624,Sable,Border Collie X,LILY,Desexed Female,DAVOREN PARK,10
156625,Brown/White,Chihuahua X,STELLA,Female,CRAIGMORE,6
156626,Black/Brindle,German Shepherd Dog,GYPSY,Female,CRAIGMORE,2
156627,White,Maltese X,SOPHIE,Desexed Female,CRAIGMORE,12
156628,Black/White,Staffordshire Bull Terrier,BELLA,Female,ELIZABETH NORTH,3
156629,Beige,Australian Cattle Dog X,LUCKY,Male,CRAIGMORE,8
156630,Black,Labrador Retriever X,FLOURA,Desexed Female,ELIZABETH NORTH,13
156631,Black,Labrador Retriever,MIA,Desexed Female,HILLBANK,12
156632,Tri-Colored,Tenterfield Terrier X,SPEEDIE,Desexed Male,ELIZABETH,5
156633,Gold,Labrador Retriever,CHACE,Male,ANDREWS FARM,12
156634,Brindle,Whippet,ZIGGY,Female,ANDREWS FARM,13
156635,Brown/White,Maltese X,TED,Desexed Male,DAVOREN PARK,11
156636,Black,Jack Russell Terrier X,Ella,Female,ANDREWS FARM,7
156637,Black,Staffordshire Bull Terrier X,JACK,Male,ANDREWS FARM,7
156638,Black,German Shepherd Dog,RUGER,Male,CRAIGMORE,10
156639,Cream,Shih Tzu X,BENSON,Desexed Male,BLAKEVIEW,9
156640,White/Brown,King Charles Spaniel,DAISY,Female,BLAKEVIEW,4
156641,Black/White,Alaskan Malamute,HUNTER,Desexed Male,ELIZABETH VALE,3
156642,Black/White,Border Collie,CHARLIE,Desexed Male,CRAIGMORE,6
156643,Black /Tan,Australian Kelpie,SHIFTY,Desexed Male,ANDREWS FARM,2
156644,Black,Chihuahua X,TICH,Female,DAVOREN PARK,13
156645,Black/White,Staffordshire Bull Terrier X,BUDDY,Male,ANDREWS FARM,11
156646,White,Shih Tzu,COOPER,Male,CRAIGMORE,3
156647,White,Maltese X,TESS,Desexed Female,CRAIGMORE,2
156648,Tri-Colored,Tenterfield Terrier X,TINKER,Desexed Female,CRAIGMORE,3
156649,White,Maltese X,ANGEL,Female,DAVOREN PARK,9
156650,Brown/White,German Shorthaired Pointer,HUMPHREY,Male,MUNNO PARA WEST,7
156651,Black/Grey,Cocker Spaniel,ALBERT,Desexed Male,CRAIGMORE,10
156652,Tri-Colored,Beagle,TESS,Female,CRAIGMORE,2
156653,White/Brindle,Greyhound,DEVO,Desexed Female,ANDREWS FARM,14
156654,Fawn,Pug X,BILBO,Male,ANDREWS FARM,14
156655,Tan/Black,Pomeranian X,ROCKO,Male,ANDREWS FARM,12
156656,Brindle,Staffordshire Bull Terrier X,BUDDY,Male,ELIZABETH DOWNS,6
156657,White/Brown,Staffordshire Bull Terrier X,ELLA SHEPHARD,Desexed Female,CRAIGMORE,1
156658,Black/White,Border Collie,ELLA,Female,ELIZABETH GROVE,10
156659,Brown/White,Pointer,ZOE,Female,ANDREWS FARM,8
156660,Black/White,Pointer X,OSCAR,Male,ANDREWS FARM,9
156661,Tri-Colored,Poodle,MINNIE,Desexed Female,MUNNO PARA,9
156662,Black,Maltese X,JET,Desexed Male,ANDREWS FARM,6
156663,Black /Tan,Australian Kelpie,TIKI,Female,DAVOREN PARK,14
156664,Tan,Mastiff,CHARLIE,Female,DAVOREN PARK,6
